"State","Department.Agency","Adopted.Adjusted.Estimated.Actual.etc.","Adopted.Actual...Simplified","LEA FY 2018-19","LEA FY 2019-20","LEA FY 2020-21","LEA FY 2021-22","Total_FY19","Total_FY20","Total_FY21","Total_FY22","LEA_19_22_Chg","LEA_19_20_Chg","LEA_20_21_Chg","LEA_21_22_Chg"
"Texas","Garland Police Department ","Actual","Actual",56114162,57673995,NA,NA,NA,NA,NA,NA,NA,2.7797492547425,NA,NA
"Arizona","Gilbert Police Department ","Budget","Adopted",56101700,59942830,58715270,61716320,966501770,1048945125,992839910,988252510,10.0079320234503,6.84672656978309,-2.04788462606787,5.11119168829506
"Arizona","Gilbert Police Department ","Actual ","Actual",57005580,68200507,NA,NA,NA,NA,NA,NA,NA,19.6383003207756,NA,NA
"Arizona","Glendale Police Department ","Adopted","Adopted",104636515,103422311,107660226,103342360,6.89e+08,7.36e+08,7.47e+08,1.244e+09,-1.23681011356313,-1.16040179663858,4.09767965830893,-4.01064177591453
"Arizona","Glendale Police Department ","Actual ","Actual",103900101,104746501,107493794,NA,NA,NA,NA,NA,NA,0.814628659504383,2.62280169148562,NA
"North Carolina","Greensboro Police Department ","Actual","Actual",74793462,76063428,NA,NA,NA,NA,NA,NA,NA,1.69796392096411,NA,NA
"North Carolina","Greensboro Police Department ","Projected","",NA,NA,80677360,80816413,NA,NA,NA,NA,NA,NA,NA,0.172356904093044
"North Carolina","Greensboro Police Department ","Adopted","Adopted",75589641,78368206,78583248,83721688,678041197,705430392,602444406,619744308,10.758150048629,3.67585420864745,0.274399544121247,6.5388490941479
"Nevada","Henderson Police Department ","Approved","Adopted",96704504,102147240,102274464,104811389,568844477,610248634,689599976,679673461,8.3831514197105,5.62821355249389,0.124549620723967,2.48050676657665
"Nevada","Henderson Police Department ","Actual","Actual",93673647,95696538,NA,NA,NA,NA,NA,NA,NA,2.15950917337509,NA,NA
"Hawaii","Honolulu Police Department ","Total Budget","Adopted",295681922,301701305,312091911,300166774,2607019984,2833912371,2979617521,2906977087,1.51678261885757,2.03576294393811,3.44400432739262,-3.82103366978967
"Hawaii","Honolulu Police Department ","Actual","Actual",291823159,306217662,NA,NA,NA,NA,NA,NA,NA,4.93261160263158,NA,NA
"Texas","Houston Police Department","Estimate","",901990935,925782212,950833184,NA,NA,NA,NA,NA,NA,2.63764036608638,2.70592496542805,NA
"Texas","Houston Police Department","Actual ","Actual",888686201,924943372,NA,NA,NA,NA,NA,NA,NA,4.07986204345261,NA,NA
"Texas","Houston Police Department","Adopted ","Adopted",906354602,934098364,965146748,984361509,5386380136,5524324869,5563848304,5664067131,8.60666529721002,3.06102732184285,3.32388806110788,1.99086419135922
"Indiana","Indianapolis Police Department","Actual","Actual",242049292,223802681,NA,NA,NA,NA,NA,NA,NA,-7.53838643742036,NA,NA
"Indiana","Indianapolis Police Department","Adopted ","Adopted",247367077,253937004,261245103,264964602,1174357406,1212269739,1291780882,1353767739,7.11393173797336,2.65594236697877,2.87791809971894,1.42375836227636
"California","Irvine Police Department ","Adopted","Adopted",46810759,50719538,53197577,52854482,610006851,781026255,626941389,695603170,12.9109698904903,8.35017223284074,4.88576808408625,-0.644944787616925
"California","Irvine Police Department ","Actual","Actual",44706606,49030545,NA,NA,NA,NA,NA,NA,NA,9.67181225969155,NA,NA
"Texas","Irving Police Department ","Adopted ","Adopted",65940524,70698309,73052917,74427782,691188738,687926200,687948143,798332074,12.8710806119769,7.21526720048509,3.33050115809701,1.88201245954354
"Texas","Irving Police Department ","Actual","Actual",64460334,67650551,NA,NA,NA,NA,NA,NA,NA,4.94911645974407,NA,NA
